2020-06-04 18:51:46,303[line:2] - INFO: --------------------------------------------------------------
2020-06-04 18:51:46,306[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 16, experimentTimes: 0
2020-06-04 18:51:46,312[line:15] - INFO: DataLoader have been created!
2020-06-04 18:51:51,695[line:18] - INFO: Network have been established.
2020-06-04 18:51:51,702[line:24] - INFO: Train begining.
2020-06-04 18:52:56,164[line:3] - INFO: 5: (train) acc:43.75%, loss:1.830726981163025
2020-06-04 18:53:00,251[line:3] - INFO: 10: (train) acc:25.0%, loss:1.7679275274276733
2020-06-04 18:53:04,094[line:3] - INFO: 15: (train) acc:25.0%, loss:1.7091164588928223
2020-06-04 18:53:45,460[line:3] - INFO: 20: (train) acc:25.0%, loss:1.4953402280807495
2020-06-04 18:53:49,368[line:3] - INFO: 25: (train) acc:31.25%, loss:1.7873364686965942
2020-06-04 18:53:53,182[line:3] - INFO: 30: (train) acc:50.0%, loss:1.2349992990493774
2020-06-04 18:54:45,867[line:3] - INFO: 35: (train) acc:37.5%, loss:1.2214833498001099
2020-06-04 18:54:50,974[line:3] - INFO: 40: (train) acc:56.25%, loss:1.046245813369751
2020-06-04 18:54:54,734[line:3] - INFO: 45: (train) acc:31.25%, loss:1.72209632396698
2020-06-04 18:55:34,264[line:3] - INFO: 50: (train) acc:43.75%, loss:1.4300562143325806
2020-06-04 18:55:34,268[line:45] - INFO: Evaluating!
2020-06-04 18:56:41,317[line:16] - INFO: Evaluationg, 16
2020-06-04 18:56:41,500[line:16] - INFO: Evaluationg, 32
2020-06-04 18:56:41,665[line:16] - INFO: Evaluationg, 48
2020-06-04 18:56:41,820[line:16] - INFO: Evaluationg, 64
2020-06-04 18:56:41,987[line:16] - INFO: Evaluationg, 80
2020-06-04 18:56:42,162[line:16] - INFO: Evaluationg, 96
2020-06-04 18:56:42,331[line:16] - INFO: Evaluationg, 112
2020-06-04 18:56:42,503[line:16] - INFO: Evaluationg, 128
2020-06-04 18:57:31,875[line:16] - INFO: Evaluationg, 144
2020-06-04 18:57:32,058[line:16] - INFO: Evaluationg, 160
2020-06-04 18:57:32,120[line:16] - INFO: Evaluationg, 165
