2020-06-03 23:16:45,497[line:2] - INFO: --------------------------------------------------------------
2020-06-03 23:16:45,498[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 16, experimentTimes: 0
2020-06-03 23:16:45,505[line:15] - INFO: DataLoader have been created!
2020-06-03 23:16:49,217[line:18] - INFO: Network have been established.
2020-06-03 23:16:49,221[line:24] - INFO: Train begining.
2020-06-03 23:17:51,065[line:3] - INFO: 5: (train) acc:25.0%, loss:1.8642351627349854
2020-06-03 23:17:57,100[line:3] - INFO: 10: (train) acc:31.25%, loss:2.01334810256958
2020-06-03 23:18:03,192[line:3] - INFO: 15: (train) acc:25.0%, loss:1.6787500381469727
2020-06-03 23:18:53,996[line:3] - INFO: 20: (train) acc:37.5%, loss:1.6573419570922852
2020-06-03 23:19:00,034[line:3] - INFO: 25: (train) acc:25.0%, loss:1.776111364364624
2020-06-03 23:19:06,068[line:3] - INFO: 30: (train) acc:31.25%, loss:1.546581745147705
2020-06-03 23:19:06,093[line:45] - INFO: Evaluating!
2020-06-03 23:19:58,444[line:16] - INFO: Evaluationg, 16
2020-06-03 23:19:58,713[line:16] - INFO: Evaluationg, 32
2020-06-03 23:19:59,096[line:16] - INFO: Evaluationg, 48
2020-06-03 23:19:59,358[line:16] - INFO: Evaluationg, 64
2020-06-03 23:20:00,676[line:16] - INFO: Evaluationg, 80
2020-06-03 23:20:00,935[line:16] - INFO: Evaluationg, 96
2020-06-03 23:20:01,197[line:16] - INFO: Evaluationg, 112
2020-06-03 23:20:01,460[line:16] - INFO: Evaluationg, 128
2020-06-03 23:20:37,058[line:16] - INFO: Evaluationg, 144
2020-06-03 23:20:37,333[line:16] - INFO: Evaluationg, 160
2020-06-03 23:20:37,426[line:16] - INFO: Evaluationg, 165
2020-06-03 23:20:37,594[line:3] - INFO: 30: (eval) acc:35.75757575757576%, loss:0.1137636849374482
2020-06-03 23:20:43,855[line:3] - INFO: 35: (train) acc:43.75%, loss:1.4105849266052246
2020-06-03 23:20:49,901[line:3] - INFO: 40: (train) acc:43.75%, loss:1.3633497953414917
2020-06-03 23:20:56,058[line:3] - INFO: 45: (train) acc:56.25%, loss:1.2722318172454834
2020-06-03 23:21:02,179[line:3] - INFO: 50: (train) acc:68.75%, loss:1.2264704704284668
2020-06-03 23:21:08,357[line:3] - INFO: 55: (train) acc:25.0%, loss:1.8639954328536987
2020-06-03 23:21:14,430[line:3] - INFO: 60: (train) acc:37.5%, loss:1.6756864786148071
2020-06-03 23:21:14,480[line:45] - INFO: Evaluating!
2020-06-03 23:22:07,969[line:16] - INFO: Evaluationg, 16
2020-06-03 23:22:12,006[line:16] - INFO: Evaluationg, 32
2020-06-03 23:22:12,267[line:16] - INFO: Evaluationg, 48
2020-06-03 23:22:13,422[line:16] - INFO: Evaluationg, 64
