2020-06-04 18:41:30,659[line:2] - INFO: --------------------------------------------------------------
2020-06-04 18:41:30,661[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 12, experimentTimes: 0
2020-06-04 18:41:30,668[line:15] - INFO: DataLoader have been created!
2020-06-04 18:41:34,023[line:18] - INFO: Network have been established.
2020-06-04 18:41:34,029[line:24] - INFO: Train begining.
2020-06-04 18:42:26,606[line:3] - INFO: 5: (train) acc:25.0%, loss:1.9177207946777344
2020-06-04 18:42:33,921[line:3] - INFO: 10: (train) acc:0.0%, loss:1.9398232698440552
2020-06-04 18:42:41,327[line:3] - INFO: 15: (train) acc:16.666666666666664%, loss:1.8720054626464844
2020-06-04 18:42:48,728[line:3] - INFO: 20: (train) acc:50.0%, loss:1.7133374214172363
2020-06-04 18:42:56,130[line:3] - INFO: 25: (train) acc:16.666666666666664%, loss:1.8287829160690308
2020-06-04 18:43:03,619[line:3] - INFO: 30: (train) acc:16.666666666666664%, loss:1.6733317375183105
2020-06-04 18:43:32,488[line:3] - INFO: 35: (train) acc:41.66666666666667%, loss:1.674970030784607
2020-06-04 18:43:40,079[line:3] - INFO: 40: (train) acc:33.33333333333333%, loss:1.5041617155075073
2020-06-04 18:43:47,511[line:3] - INFO: 45: (train) acc:50.0%, loss:1.3301235437393188
2020-06-04 18:43:55,202[line:3] - INFO: 50: (train) acc:50.0%, loss:1.5477919578552246
2020-06-04 18:43:55,221[line:45] - INFO: Evaluating!
2020-06-04 18:45:16,709[line:17] - INFO: Evaluationg, 12
2020-06-04 18:45:19,339[line:17] - INFO: Evaluationg, 24
2020-06-04 18:45:19,537[line:17] - INFO: Evaluationg, 36
2020-06-04 18:45:19,745[line:17] - INFO: Evaluationg, 48
2020-06-04 18:45:19,921[line:17] - INFO: Evaluationg, 60
2020-06-04 18:45:20,208[line:17] - INFO: Evaluationg, 72
2020-06-04 18:45:20,384[line:17] - INFO: Evaluationg, 84
2020-06-04 18:45:20,561[line:17] - INFO: Evaluationg, 96
2020-06-04 18:46:03,074[line:17] - INFO: Evaluationg, 108
2020-06-04 18:46:06,636[line:17] - INFO: Evaluationg, 120
2020-06-04 18:46:07,789[line:17] - INFO: Evaluationg, 132
2020-06-04 18:46:07,972[line:17] - INFO: Evaluationg, 144
2020-06-04 18:46:08,141[line:17] - INFO: Evaluationg, 156
2020-06-04 18:46:08,272[line:17] - INFO: Evaluationg, 165
2020-06-04 18:46:08,429[line:3] - INFO: 50: (eval) acc:27.27272727272727%, loss:0.14211369427767667
2020-06-04 18:46:15,833[line:3] - INFO: 55: (train) acc:16.666666666666664%, loss:1.8317705392837524
2020-06-04 18:46:23,014[line:3] - INFO: 60: (train) acc:16.666666666666664%, loss:1.4154595136642456
2020-06-04 18:46:31,651[line:3] - INFO: 65: (train) acc:41.66666666666667%, loss:1.3702402114868164
2020-06-04 18:46:38,892[line:3] - INFO: 70: (train) acc:25.0%, loss:1.5516815185546875
2020-06-04 18:46:46,237[line:3] - INFO: 75: (train) acc:16.666666666666664%, loss:1.584965705871582
2020-06-04 18:46:53,597[line:3] - INFO: 80: (train) acc:50.0%, loss:1.401170253753662
2020-06-04 18:47:00,968[line:3] - INFO: 85: (train) acc:50.0%, loss:1.2412910461425781
2020-06-04 18:47:08,426[line:3] - INFO: 90: (train) acc:41.66666666666667%, loss:1.401275634765625
2020-06-04 18:47:15,894[line:3] - INFO: 95: (train) acc:41.66666666666667%, loss:1.5346441268920898
2020-06-04 18:47:23,810[line:3] - INFO: 100: (train) acc:50.0%, loss:1.3168896436691284
2020-06-04 18:47:23,817[line:45] - INFO: Evaluating!
2020-06-04 18:48:37,372[line:17] - INFO: Evaluationg, 12
2020-06-04 18:48:38,582[line:17] - INFO: Evaluationg, 24
2020-06-04 18:48:38,760[line:17] - INFO: Evaluationg, 36
2020-06-04 18:48:38,938[line:17] - INFO: Evaluationg, 48
2020-06-04 18:48:39,109[line:17] - INFO: Evaluationg, 60
2020-06-04 18:48:39,298[line:17] - INFO: Evaluationg, 72
2020-06-04 18:48:39,466[line:17] - INFO: Evaluationg, 84
2020-06-04 18:48:39,632[line:17] - INFO: Evaluationg, 96
2020-06-04 18:49:11,659[line:17] - INFO: Evaluationg, 108
2020-06-04 18:49:11,999[line:17] - INFO: Evaluationg, 120
2020-06-04 18:49:12,169[line:17] - INFO: Evaluationg, 132
2020-06-04 18:49:12,330[line:17] - INFO: Evaluationg, 144
2020-06-04 18:49:12,486[line:17] - INFO: Evaluationg, 156
2020-06-04 18:49:12,603[line:17] - INFO: Evaluationg, 165
2020-06-04 18:49:12,690[line:3] - INFO: 100: (eval) acc:42.42424242424242%, loss:0.1184032729177764
2020-06-04 18:49:19,987[line:3] - INFO: 105: (train) acc:25.0%, loss:1.3377851247787476
2020-06-04 18:49:27,187[line:3] - INFO: 110: (train) acc:83.33333333333334%, loss:1.4209632873535156
